ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
23/1,0.000,0.000,47.308,47.308,{built-in method builtins.exec}
2/1,0.328,0.164,47.308,47.308,<string>:1(<module>)
2/1,3.001,1.501,46.980,46.980,data_extractor.py:32(prepare_pages)
2/1,0.016,0.008,46.980,46.980,data_extractor.py:27(parse_pages_wiki)
774107/5000,6.327,0.000,46.806,0.009,utils.py:37(parse_anything)
5000,0.019,0.000,46.668,0.009,__init__.py:68(parse)
5000,0.701,0.000,42.759,0.009,builder.py:326(build)
891049/375688,0.957,0.000,41.434,0.000,builder.py:318(_handle_token)
95998/89170,1.533,0.000,31.259,0.000,builder.py:109(_handle_template)
236552/222064,3.009,0.000,26.289,0.000,builder.py:83(_handle_parameter)
236552,1.444,0.000,12.918,0.000,parameter.py:38(__init__)
74761/74514,1.107,0.000,7.395,0.000,builder.py:270(_handle_tag)
489670,1.272,0.000,5.214,0.000,builder.py:71(_pop)
236552,0.216,0.000,4.476,0.000,parameter.py:69(name)
774270,4.245,0.000,4.245,0.000,wikicode.py:58(__init__)
74761,0.494,0.000,4.229,0.000,tag.py:33(__init__)
1,4.165,4.165,4.165,4.165,{method 'fetchall' of 'sqlite3.Cursor' objects}
236552,0.191,0.000,4.033,0.000,parameter.py:73(value)
5000,3.887,0.001,3.890,0.001,{method 'tokenize' of '_tokenizer.CTokenizer' objects}
2323247/2323242,2.447,0.000,3.802,0.000,<frozen importlib._bootstrap>:1390(_handle_fromlist)
1539330,1.582,0.000,3.639,0.000,data_extractor.py:21(finer_quick_filter)
3097388,2.067,0.000,3.349,0.000,<frozen importlib._bootstrap>:645(parent)
676865,1.094,0.000,3.291,0.000,builder.py:41(<lambda>)
1539330,1.569,0.000,3.036,0.000,data_extractor.py:18(quick_page_filter)
236552,0.426,0.000,2.965,0.000,parameter.py:77(showkey)
215302,0.506,0.000,2.481,0.000,parameter.py:49(can_hide_key)
1222923,0.571,0.000,2.057,0.000,{built-in method builtins.all}
74761,0.074,0.000,1.919,0.000,tag.py:222(contents)
892167,1.408,0.000,1.903,0.000,text.py:30(__init__)
95998,0.174,0.000,1.894,0.000,template.py:40(__init__)
6160844,1.771,0.000,1.772,0.000,{built-in method builtins.isinstance}
95998,0.088,0.000,1.720,0.000,template.py:196(name)
774270,1.238,0.000,1.559,0.000,smart_list.py:54(__new__)
1351351,1.486,0.000,1.486,0.000,data_extractor.py:24(<genexpr>)
1539394,0.691,0.000,1.468,0.000,{built-in method builtins.any}
74761,0.077,0.000,1.420,0.000,tag.py:218(tag)
27967,0.211,0.000,1.308,0.000,builder.py:213(_handle_heading)
3097522,1.282,0.000,1.282,0.000,{method 'rpartition' of 'str' objects}
1082493,0.786,0.000,1.171,0.000,tokens.py:50(__getattr__)
891049,0.690,0.000,1.026,0.000,builder.py:79(_write)
215408,0.311,0.000,0.955,0.000,__init__.py:164(match)
215581,0.565,0.000,0.932,0.000,wikicode.py:62(__str__)
2324178,0.840,0.000,0.840,0.000,{built-in method builtins.hasattr}
1855737,0.777,0.000,0.777,0.000,data_extractor.py:19(<genexpr>)
2102470,0.774,0.000,0.774,0.000,{method 'pop' of 'list' objects}
14209/14162,0.119,0.000,0.743,0.000,builder.py:150(_handle_wikilink)
1854407,0.679,0.000,0.679,0.000,{method 'append' of 'list' objects}
27967,0.069,0.000,0.632,0.000,heading.py:31(__init__)
5/4,0.000,0.000,0.590,0.148,threading.py:637(wait)
5/4,0.000,0.000,0.590,0.148,threading.py:323(wait)
24/18,0.590,0.025,0.590,0.033,{method 'acquire' of '_thread.lock' objects}
27967,0.026,0.000,0.537,0.000,heading.py:60(title)
1539330,0.511,0.000,0.511,0.000,data_extractor.py:14(make_translation_line_string)
489670,0.349,0.000,0.505,0.000,builder.py:67(_push)
892167,0.495,0.000,0.495,0.000,text.py:48(value)
215409,0.267,0.000,0.388,0.000,__init__.py:280(_compile)
1082612,0.385,0.000,0.385,0.000,{method 'get' of 'dict' objects}
14209,0.036,0.000,0.337,0.000,wikilink.py:31(__init__)
774437,0.322,0.000,0.322,0.000,{built-in method __new__ of type object at 0xa43b40}
14209,0.013,0.000,0.268,0.000,wikilink.py:70(title)
215408,0.257,0.000,0.257,0.000,{method 'match' of 're.Pattern' objects}
215645,0.156,0.000,0.209,0.000,text.py:34(__str__)
5001,0.014,0.000,0.156,0.000,std.py:1160(__iter__)
247,0.004,0.000,0.139,0.001,std.py:1198(update)
74761,0.115,0.000,0.135,0.000,tag.py:226(wiki_markup)
248,0.002,0.000,0.133,0.001,std.py:1325(refresh)
249,0.002,0.000,0.128,0.001,std.py:1464(display)
215958,0.100,0.000,0.101,0.000,{method 'join' of 'str' objects}
5463,0.005,0.000,0.098,0.000,tag.py:254(closing_tag)
215302,0.090,0.000,0.090,0.000,{method 'strip' of 'str' objects}
249,0.003,0.000,0.086,0.000,std.py:1150(__str__)
249,0.018,0.000,0.080,0.000,std.py:464(format_meter)
747,0.001,0.000,0.072,0.000,utils.py:378(disp_len)
916,0.012,0.000,0.071,0.000,builder.py:168(_handle_external_link)
747,0.002,0.000,0.069,0.000,utils.py:374(_text_width)
36/4,0.001,0.000,0.068,0.017,<frozen importlib._bootstrap>:1349(_find_and_load)
747,0.016,0.000,0.067,0.000,{built-in method builtins.sum}
36/4,0.000,0.000,0.067,0.017,<frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
35/4,0.000,0.000,0.066,0.017,<frozen importlib._bootstrap>:911(_load_unlocked)
21/3,0.000,0.000,0.065,0.022,<frozen importlib._bootstrap_external>:989(exec_module)
5,0.000,0.000,0.061,0.012,std.py:760(get_lock)
1,0.000,0.000,0.061,0.061,std.py:90(__init__)
1,0.000,0.000,0.061,0.061,std.py:116(create_mp_lock)
236552,0.061,0.000,0.061,0.000,parameter.py:64(showkey)
81/8,0.000,0.000,0.060,0.007,<frozen importlib._bootstrap>:480(_call_with_frames_removed)
215645,0.059,0.000,0.059,0.000,wikicode.py:277(nodes)
215302,0.058,0.000,0.058,0.000,parameter.py:54(name)
215645,0.053,0.000,0.053,0.000,text.py:43(value)
79774,0.034,0.000,0.051,0.000,utils.py:375(<genexpr>)
74761,0.044,0.000,0.044,0.000,tag.py:232(self_closing)
6/3,0.000,0.000,0.044,0.015,{built-in method builtins.__import__}
249,0.001,0.000,0.040,0.000,std.py:457(print_status)
916,0.004,0.000,0.037,0.000,external_link.py:31(__init__)
74761,0.036,0.000,0.036,0.000,tag.py:236(invalid)
14209,0.006,0.000,0.033,0.000,wikilink.py:74(text)
74761,0.032,0.000,0.032,0.000,tag.py:240(implicit)
249,0.001,0.000,0.030,0.000,utils.py:386(disp_trim)
1,0.000,0.000,0.030,0.030,__init__.py:1(<module>)
916,0.004,0.000,0.030,0.000,external_link.py:83(url)
1,0.000,0.000,0.028,0.028,context.py:1(<module>)
21,0.001,0.000,0.027,0.001,<frozen importlib._bootstrap_external>:1062(get_code)
27967,0.027,0.000,0.027,0.000,heading.py:64(level)
74761,0.026,0.000,0.026,0.000,tag.py:258(wiki_style_separator)
74761,0.025,0.000,0.025,0.000,tag.py:244(padding)
1,0.000,0.000,0.025,0.025,context.py:70(RLock)
1,0.000,0.000,0.023,0.023,synchronize.py:1(<module>)
74161,0.020,0.000,0.020,0.000,tag.py:205(closing_wiki_markup)
1,0.000,0.000,0.019,0.019,reduction.py:1(<module>)
79027,0.018,0.000,0.018,0.000,{built-in method unicodedata.east_asian_width}
21,0.000,0.000,0.016,0.001,<frozen importlib._bootstrap_external>:1183(get_data)
5000,0.014,0.000,0.016,0.000,__init__.py:59(__init__)
21,0.015,0.001,0.015,0.001,{method 'read' of '_io.BufferedReader' objects}
1,0.006,0.006,0.015,0.015,random.py:359(sample)
1,0.000,0.000,0.011,0.011,tempfile.py:1(<module>)
1,0.000,0.000,0.011,0.011,socket.py:1(<module>)
54,0.001,0.000,0.011,0.000,builder.py:238(_handle_attribute)
7,0.002,0.000,0.010,0.001,enum.py:919(_convert_)
249,0.001,0.000,0.010,0.000,std.py:451(fp_write)
1,0.002,0.002,0.009,0.009,shutil.py:1(<module>)
21,0.001,0.000,0.009,0.000,<frozen importlib._bootstrap_external>:751(_compile_bytecode)
500,0.001,0.000,0.008,0.000,utils.py:194(inner)
251,0.008,0.000,0.008,0.000,{method 'write' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.007,0.007,util.py:1(<module>)
21,0.007,0.000,0.007,0.000,{built-in method marshal.loads}
54,0.000,0.000,0.007,0.000,attribute.py:36(__init__)
5028,0.004,0.000,0.007,0.000,random.py:242(_randbelow_with_getrandbits)
36,0.001,0.000,0.007,0.000,<frozen importlib._bootstrap>:1240(_find_spec)
